id,player,team,era,positions,pts,reb,ast,stl,blk,stl_historically_unavailable,blk_historically_unavailable,raw_composite,source_contribution,source_value,flex_score,tier,tier_label,overall_rank,spin_rank,perfect_share,playable
wilt_chamberlain_gsw_1960s,Wilt Chamberlain,GSW,1960s,C,41.46,25.1,3.02,,,true,true,31.956064,31.958,31.958,0.0,S+,cheat-code pick,1,1,0.4584158945575792,true
wilt_chamberlain_phi_1960s,Wilt Chamberlain,PHI,1960s,C,27.6,23.96,6.79,,,true,true,28.775189,28.777,28.777,0.0,S+,cheat-code pick,2,1,0.20977644784728058,true
kareem_abdul_jabbar_mil_1970s,Kareem Abdul-Jabbar,MIL,1970s,C,30.43,15.32,4.31,1.22,3.41,false,false,28.449351,28.451,28.451,0.0,S+,cheat-code pick,3,1,0.0816463256189237,true
kareem_abdul_jabbar_lal_1970s,Kareem Abdul-Jabbar,LAL,1970s,C,25.89,14.05,4.67,1.33,3.61,false,false,26.681613,26.683,26.683,0.0,S+,cheat-code pick,4,1,0.04164880433225427,true
nikola_joki_den_2020s,Nikola Jokić,DEN,2020s,C,26.9,12.4,9.3,1.4,0.8,false,false,25.40289,25.404,25.404,0.0,S,perfect-lineup caliber,5,1,0.018260259469539377,true
giannis_antetokounmpo_mil_2020s,Giannis Antetokounmpo,MIL,2020s,PF/PG/SF/C,29.6,11.3,6.0,1.0,1.1,false,false,23.52999,23.531,24.581,1.05,S,perfect-lineup caliber,6,1,0.09878499924856017,true
russell_westbrook_was_2020s,Russell Westbrook,WAS,2020s,PG,22.2,11.5,11.7,1.4,0.4,false,false,24.18992,24.191,24.191,0.0,S,perfect-lineup caliber,7,1,0.07618159322174119,true
luka_don_i_dal_2020s,Luka Dončić,DAL,2020s,PG/SG/SF,30.6,8.7,8.8,1.2,0.5,false,false,23.43711,23.439,24.139,0.7,S,perfect-lineup caliber,8,1,0.09704047697343991,true
bob_mcadoo_lac_1970s,Bob McAdoo,LAC,1970s,C/PF,28.24,12.67,2.59,1.14,2.42,false,false,23.639638,23.641,23.991,0.35,S,perfect-lineup caliber,9,1,0.035365106328337205,true
michael_jordan_chi_1980s,Michael Jordan,CHI,1980s,SG/SF,32.65,6.15,5.93,2.81,1.18,false,false,23.472649,23.474,23.824,0.35,S,perfect-lineup caliber,10,1,0.09967043653623449,true
luka_don_i_lal_2020s,Luka Dončić,LAL,2020s,PG/SG/SF,30.9,7.9,8.0,1.7,0.5,false,false,23.1191,23.12,23.82,0.7,S,perfect-lineup caliber,11,1,0.09213751173276276,true
hakeem_olajuwon_hou_1990s,Hakeem Olajuwon,HOU,1990s,C,23.92,11.62,3.01,1.78,3.46,false,false,23.781323,23.782,23.782,0.0,S,perfect-lineup caliber,12,1,0.011665891802566011,true
lebron_james_lal_2010s,LeBron James,LAL,2010s,SF/PF/PG/C/SG,27.4,8.5,8.3,1.3,0.6,false,false,22.14041,22.142,23.542,1.4,S,perfect-lineup caliber,13,1,0.07307550349263804,true
david_robinson_sas_1990s,David Robinson,SAS,1990s,C,24.4,11.51,2.96,1.56,3.38,false,false,23.494395,23.495,23.495,0.0,S,perfect-lineup caliber,14,1,0.009748594264493725,true
demarcus_cousins_nop_2010s,DeMarcus Cousins,NOP,2010s,C,24.99,12.77,5.01,1.57,1.47,false,false,23.374539,23.376,23.376,0.0,S,perfect-lineup caliber,15,1,0.006960233420689878,true
kevin_garnett_min_2000s,Kevin Garnett,MIN,2000s,C/PF/SF,22.47,12.7,5.03,1.39,1.66,false,false,22.5048,22.506,23.206,0.7,S,perfect-lineup caliber,16,1,0.05562897111196965,true
moses_malone_hou_1980s,Moses Malone,HOU,1980s,C,28.23,14.67,1.8,0.97,1.56,false,false,23.140218,23.141,23.141,0.0,S,perfect-lineup caliber,17,1,0.005708227651292947,true
shaquille_oneal_orl_1990s,Shaquille O'Neal,ORL,1990s,C,27.19,12.51,2.43,0.79,2.78,false,false,23.126933,23.128,23.128,0.0,S,perfect-lineup caliber,18,1,0.006640939368467924,true
wilt_chamberlain_lal_1960s,Wilt Chamberlain,LAL,1960s,C,20.5,21.1,4.5,,,true,true,23.11942,23.121,23.121,0.0,S,perfect-lineup caliber,19,1,0.024520224432159836,true
lebron_james_cle_2010s,LeBron James,CLE,2010s,SF/PF/PG/C/SG,26.88,7.62,8.15,1.44,0.76,false,false,21.675483,21.677,23.077,1.4,S,perfect-lineup caliber,20,1,0.06559636932381435,true
nate_thurmond_gsw_1970s,Nate Thurmond,GSW,1970s,C/PF,18.63,15.64,3.12,0.7,2.9,false,false,22.616998,22.618,22.968,0.35,S,perfect-lineup caliber,21,1,0.026205078711126564,true
hakeem_olajuwon_hou_1980s,Hakeem Olajuwon,HOU,1980s,C,23.0,12.11,2.03,1.96,3.11,false,false,22.939696,22.941,22.941,0.0,S,perfect-lineup caliber,22,2,0.007496287120608729,true
victor_wembanyama_sas_2020s,Victor Wembanyama,SAS,2020s,C,23.6,11.0,3.6,1.1,3.5,false,false,22.91271,22.914,22.914,0.0,S,perfect-lineup caliber,23,1,0.006932635375359769,true
james_harden_bkn_2020s,James Harden,BKN,2020s,PG/SG,24.6,7.9,10.8,1.2,0.8,false,false,22.46815,22.469,22.819,0.35,S,perfect-lineup caliber,24,1,0.06556298974352504,true
shaquille_oneal_lal_2000s,Shaquille O'Neal,LAL,2000s,C,27.05,11.99,3.32,0.56,2.56,false,false,22.759019,22.76,22.76,0.0,S,perfect-lineup caliber,25,1,0.005062708093334417,true
lebron_james_cle_2000s,LeBron James,CLE,2000s,SF/PF/PG/C/SG,27.52,7.01,6.68,1.75,0.85,false,false,21.077242,21.078,22.478,1.4,S,perfect-lineup caliber,26,1,0.05717315202098985,true
bob_mcadoo_nyk_1970s,Bob McAdoo,NYK,1970s,C/PF,26.65,12.0,3.33,1.34,1.42,false,false,22.103589,22.105,22.455,0.35,S,perfect-lineup caliber,27,1,0.020758042282824705,true
anthony_davis_dal_2020s,Anthony Davis,DAL,2020s,C/PF,24.7,11.6,3.5,1.2,2.2,false,false,22.09813,22.099,22.449,0.35,S,perfect-lineup caliber,28,2,0.021900454425453575,true
bob_pettit_atl_1960s,Bob Pettit,ATL,1960s,C/PF,27.55,16.69,3.3,,,true,true,22.036123,22.037,22.387,0.35,S,perfect-lineup caliber,29,1,0.04965022512051386,true
lebron_james_mia_2010s,LeBron James,MIA,2010s,SF/PF/PG/C/SG,26.91,7.56,6.73,1.69,0.64,false,false,20.912614,20.914,22.314,1.4,S,perfect-lineup caliber,30,1,0.053166133045896284,true
larry_bird_bos_1980s,Larry Bird,BOS,1980s,PF/SF,24.97,10.21,6.12,1.81,0.84,false,false,21.925384,21.927,22.277,0.35,S,perfect-lineup caliber,31,1,0.04522556211452774,true
chris_webber_sac_1990s,Chris Webber,SAC,1990s,C/PF,20.0,13.0,4.1,1.4,2.1,false,false,21.83223,21.833,22.183,0.35,S,perfect-lineup caliber,32,1,0.020317719302644668,true
oscar_robertson_sac_1960s,Oscar Robertson,SAC,1960s,PG,29.66,8.73,10.5,,,true,true,22.174199,22.176,22.176,0.0,S,perfect-lineup caliber,33,1,0.11049401299695447,true
bill_russell_bos_1960s,Bill Russell,BOS,1960s,C,14.82,22.55,4.63,,,true,true,22.15388,22.155,22.155,0.0,S,perfect-lineup caliber,34,1,0.01545401100376231,true
shaquille_oneal_lal_1990s,Shaquille O'Neal,LAL,1990s,C,27.02,11.54,2.59,0.76,2.34,false,false,21.971371,21.973,21.973,0.0,A+,elite anchor,35,1,0.0031803872446561927,true
elvin_hayes_was_1970s,Elvin Hayes,WAS,1970s,C/PF,21.52,13.38,1.86,1.25,2.47,false,false,21.509955,21.511,21.861,0.35,A+,elite anchor,36,1,0.018766031980832137,true
magic_johnson_lal_1980s,Magic Johnson,LAL,1980s,PG/SG/PF,19.5,7.39,11.21,2.04,0.43,false,false,21.141786,21.143,21.843,0.7,A+,elite anchor,37,1,0.051975168786482964,true
joel_embiid_phi_2020s,Joel Embiid,PHI,2020s,C,29.6,9.9,4.2,0.9,1.4,false,false,21.80292,21.804,21.804,0.0,A+,elite anchor,38,1,0.002458174507487487,true
lebron_james_lal_2020s,LeBron James,LAL,2020s,SF/PF/PG/C/SG,25.9,7.6,7.4,1.1,0.7,false,false,20.39911,20.4,21.8,1.4,A+,elite anchor,39,3,0.04357855932134362,true
elvin_hayes_hou_1960s,Elvin Hayes,HOU,1960s,C/PF,28.4,17.1,1.4,,,true,true,21.42021,21.421,21.771,0.35,A+,elite anchor,40,1,0.04110741628792555,true
dwight_howard_orl_2010s,Dwight Howard,ORL,2010s,C/PF,20.56,13.86,1.68,1.23,2.48,false,false,21.360179,21.361,21.711,0.35,A+,elite anchor,41,1,0.01790103768969863,true
james_harden_hou_2010s,James Harden,HOU,2010s,PG/SG,29.05,5.96,7.72,1.76,0.59,false,false,21.268948,21.27,21.62,0.35,A+,elite anchor,42,1,0.04780546827797939,true
michael_jordan_chi_1990s,Michael Jordan,CHI,1990s,SG/SF,30.8,6.34,5.07,2.3,0.7,false,false,21.240889,21.242,21.592,0.35,A+,elite anchor,43,1,0.05036531475107538,true
chris_webber_sac_2000s,Chris Webber,SAC,2000s,C/PF,23.91,10.33,4.83,1.52,1.38,false,false,21.185238,21.186,21.536,0.35,A+,elite anchor,44,1,0.015696196628406853,true
bill_walton_por_1970s,Bill Walton,POR,1970s,C,17.1,13.52,4.42,0.97,2.53,false,false,21.400405,21.401,21.401,0.0,A+,elite anchor,45,1,0.002435208078561158,true
patrick_ewing_nyk_1990s,Patrick Ewing,NYK,1990s,C/PF,24.08,11.02,2.16,0.95,2.7,false,false,21.034091,21.035,21.385,0.35,A+,elite anchor,46,1,0.01612955621289017,true
